GitHub Username	Primary installation	Zulip ID	Working Groups	Issue
22tb				https://github.com/IQSS/dataverse/issues/11978
4tikhonov	dataverse.nl	598432		
aadorian				https://github.com/IQSS/dataverse-frontend/issues/152
Abalduin-adm	planetary-data-portal.org			
adam3smith	data.qdr.syr.edu			
adkinsrs				https://github.com/IQSS/dataverse-docker/issues/84
aeonSolutions				
AFIOCCA-INRAE	entrepot.recherche.data.gouv.fr	696257	documentation	
agostinho-gomes	datarepositorium.sdum.uminho.pt			
ahsouri	dataverse.jpl.nasa.gov			
aialves	dados.ipb.pt	660626		
ainajene	dataverse.bsc.es	813045		
ajdabrowski	dataverse.tdl.org			
akio-sone	dataverse.unc.edu	601920	containerization	
AleixMT	dataverse.csuc.cat			
alejandratenorio	data.worldagroforestry.org	702711		
aliassheikh	dataverse.nl			
alsantiagoabreu	dataverse.fgv.br			
alungarska				https://github.com/IQSS/dataverse/issues/9897
amandhawb	dataverse.fiu.edu	940523		
amberleahey	borealisdata.ca	770128	sensitive-data	
anarchivist	datasets.lib.berkeley.edu	735407		
andrecastro0o	dataverse.nl			
AnneGerlach				
apmireia	dataverse.csuc.cat	698155		
ar062800	dataverse.jpl.nasa.gov			
Asbjoedt	dataverse.deic.dk	671269		
aseeland	darus.uni-stuttgart.de			
Ash84	entrepot.recherche.data.gouv.fr			
Athemis		867821		
atniph				https://github.com/IQSS/dataverse/issues/10313
atrisovic	dataverse.harvard.edu	599446		
awilfox	datasets.lib.berkeley.edu	931818		
bappun	data.sciencespo.fr			
Baroti	borealisdata.ca	692987		
BeebBenjamin				
beepsoft	repo.researchdata.hu	602497		
BenediktMeierUIT	dataverse.no	699150		
bgunia	archive.data.jhu.edu	698922	large-data-support,sensitive-data	
bikramj	borealisdata.ca	719882		
bjosel				https://github.com/IQSS/dataverse/issues/11976
blewis	dataverse.harvard.edu	1035521		
bnavigator				https://github.com/gdcc/easyDataverse/issues/15
BPeuch	www.sodha.be			
Bramvdhout				https://github.com/IQSS/dataverse/issues/9235
bricas		670488		
bryanmgee	dataverse.tdl.org	969003		
bseeger	dataverse.yale.edu	737390		
c2dhfma				https://github.com/IQSS/dataverse/issues/12061
carlo318				https://github.com/IQSS/dataverse/issues/6018
carlsonp				
CB-HAL	data.aussda.at	931958		
CCMumma	dataverse.tdl.org	712317		
