Date	Speakers	Title	Description	YouTube ID	Non-YouTube landing page	Slides landing page	Transcript	Slides download URL	Talk download URL	Start time	End time	Conference landing page	Default image	GitHub username	Training material	Installation	Type	Target audience	Language
2026-03-03	Ceilyn Boyd and Philipp Conzett	Birdaro Training & Developing the Dataverse Community and Decision-Makers Playbooks	Ceylin Boyd (IQSS, Harvard) and Philipp Conzett (UiT) share how the Dataverse Project and the Global Dataverse Community Consortium (GDCC) are leveraging insights from the Birdaro training program to strengthen community governance, engagement, and long‑term sustainability. Their presentation highlights key lessons learned, including the need for clearer structures, improved documentation, and targeted resources. They will introduce two emerging playbooks – one for community participants and one for decision‑makers – that centralize essential information, support onboarding, and enhance strategic decision‑making across the global Dataverse ecosystem.		https://harvard.zoom.us/rec/share/NWD0KJeFzrbyCFpCraZjweoqEd7RZXZkLQxevanPCVllDVZjCM0cUe_bEuLK5o05.JukmV2MquqY9pVBn	https://docs.google.com/presentation/d/1wMon7urHUccESB34v7mMNeDaNneSdLKlT4NMdqV4nXM/edit?usp=sharing													
2026-02-22	Pablo Valério Polônia	Open Journal Systems (OJS) integration with Dataverse	Demo of OJS 3+ integration with Dataverse		https://app.heygen.com/videos/dataverse-plugin-introduction-and-tutorial-3cede08c38bf4065a4f769c1e35ae71d-en														
2026-02-10	Ceilyn Boyd, Sonia Barbosa, Philipp Conzett	Dataverse: an Open-Source Platform for Research Data	In this Data Umbrella webinar, speakers from the Dataverse Project and the Global Dataverse Community Consortium (GDCC) will introduce Dataverse, a widely used, open source research data repository platform that supports the FAIR Guiding Principles. Dataverse enables researchers and institutions around the world to publish, preserve, cite, and reuse research data across disciplines.	AUboDTH_qSo		https://dataverse.org/publication/dataverse-project-and-global-dataverse-community-consortium-fair-open-source-platform													
2026-02-03	Amber Leahey, Paul Boon	Geospatial features in Dataverse: adding more fields, an ISO-19115 exporter, using GeoNames	Amber gave a talk entitled "Expanding the geospatial metadata block in Dataverse based on ISO 19115" and Paul gave a demo of using GeoNames with an external vocabulary script.		https://harvard.zoom.us/rec/share/Wmt7i4gAkpu0HVVKcK62PdkRk-Iz1sYr2yD1cmqFyctfRMx9JFBJ9DP1nE_aqR7b.7TXN8HznrFAFc68y?startTime=1770131031000	https://docs.google.com/presentation/d/1rDHA_8ggxEeEWXunSCPHkZknEEGr-bjE4sd9xU5R7kY/edit?usp=sharing								amberleahey					
2026-01-28	Traci Snowden, Matt Carson	Simplifying Repository Selection with GREI's Flowchart and Comparison Chart	This webinar introduced two complementary tools designed to make selecting a data repository easier: the Generalist Repository Selection Flowchart (https://doi.org/10.5281/zenodo.11105429) and the Generalist Repository Comparison Chart (https://doi.org/10.5281/zenodo.3946719). 	jmhO9F0P-ts		https://doi.org/10.5281/zenodo.18407472													
2026-01-21	Philip Durbin	Intro to Zulip	An introduction to Zulip, presented to the Center for Scientific Collaboration and Community Engagement (CSCCE) community, including discussion of how Dataverse uses Zulip.	HZr7TSLlQy8		https://docs.google.com/presentation/d/1Ur09MsRHOIGMvR4ub9bbPW0kiVOILxEwRzLscY5nKjs/edit?usp=sharing													
2026-01-06	Jan Range, Sjaak Derksen	pyDataverse updates and a DCAT exporter	During a community call Jan Range demo'ed the upcoming 0.4.0 release of pyDataverse using a Jupyter notebook. Sjaak Derksen explained the DCAT exporter he created.		https://harvard.zoom.us/rec/share/yPxD6rBSdwcBOs1jcwhuFqWoi8T-G3QLpAdN4naxECmeqIv3uFuiK-67Fje_lVOA.Be90OIVr0U51kjiC	https://docs.google.com/presentation/d/1wLlUZrzRtraQFHYdNN1TY2koKa3BAV5n/edit?usp=sharing&ouid=117275479921759507378&rtpof=true&sd=true													
2025-11-02	Eryk Kulikowski	DDI-CDI previewer/editor and exporter demo	Demo of a DDI-CDI previewer/editor and exporter (both created by Eryk). Skip to 29:00 in the recording.		https://harvard.zoom.us/rec/share/P4-RNQEb6NPgz0KmQy95uFxvT0M15Oq1GBoT6DqvVqAap838GHv3lt2U3UPJdE9-.fJtlFdpsgE84oh98									erykkul					
2025-11-02	Lautaro Matas	Decentralized Archival Resource Key (dARK)	A decentralized blockchain-based Persistent ID (PID) service as a public good.		https://harvard.zoom.us/rec/share/P4-RNQEb6NPgz0KmQy95uFxvT0M15Oq1GBoT6DqvVqAap838GHv3lt2U3UPJdE9-.fJtlFdpsgE84oh98	https://docs.google.com/presentation/d/1Msqfd7sG8EDkFvmFli-V0eFTr6aLKBmm/edit?usp=sharing&ouid=117275479921759507378&rtpof=true&sd=true								lmatas					
2025-11-04	Balázs Pataki	VibeARP: An experimental AI agent for the Adatrepozitórium Platform (ARP)	Creating and editing datasets with an AI agent.		https://harvard.zoom.us/rec/share/rxeTHJ3ieQsAh5slVhe-RUFpi9hXNYa3fiTGE_Ursf-xXuXA-Pm4sbth9kjfRQ4D.SLcgbSpV1fW4Ht-G	https://docs.google.com/presentation/d/1TNTHhS4hGkfalqpZGOI8iYkqzKJJN6JS/edit?usp=sharing&ouid=117275479921759507378&rtpof=true&sd=true								beepsoft					
