GitHub Username	Start Date	End Date
sbarbosadataverse	1995-10	
landreev	2000-12	
kcondon	2007-05	2023-10
dliburd	2007-12	
scolapasta	2008-12	2026-06
mheppler	2007-06	2021-03
sekmiller	2010-12	
pdurbin	2012-12	
eaquigley	2013-08	2016-08
djbrooke	2016-07	2022-01
jggautier	2016-09	
dlmurphy	2016-10	2019-07
taniaschlatter	2016-11	2022-05
matthew-a-dunlap	2017-08	2019-12
cmbz	2023-04	
jp-tosca	2023-10	
stevenwinship	2023-10	
ChengShi-1	2024-09	
ekraffmiller	2023-01	
mercecrosas	2004-10	2021-07
siacus	2022-05	2025-08
